UID,date,count,lat,lon,cumsum,gf
84022015,2020-01-22,0,32.67932307,-93.60460152,0, 0.000
84022017,2020-01-22,0,32.57991587,-93.88375652,0, 0.000
84022019,2020-01-22,0,30.22931235,-93.35400434,0, 0.000
84022031,2020-01-22,0,32.05457447,-93.74130302,0, 0.000
84022033,2020-01-22,0,30.53842039,-91.09777565,0, 0.000
84022045,2020-01-22,0,29.86803617,-91.75871777,0, 0.000
84022047,2020-01-22,0,30.25734305,-91.3499598,0, 0.000
84022051,2020-01-22,0,29.74075478,-90.11115756,0, 0.000
84022055,2020-01-22,0,30.2049055,-92.06959876,0, 0.000
84022057,2020-01-22,0,29.52470226,-90.40976986,0, 0.000
84022063,2020-01-22,0,30.44143993,-90.73061664,0, 0.000
84022071,2020-01-22,0,30.06971951,-89.92660315,0, 0.000
84022073,2020-01-22,0,32.47645559,-92.15704172,0, 0.000
84022075,2020-01-22,0,29.42245447,-89.60322085,0, 0.000
84022079,2020-01-22,0,31.19778499,-92.52997303,0, 0.000
84022087,2020-01-22,0,29.87761636,-89.51887093,0, 0.000
84022089,2020-01-22,0,29.90709658,-90.35555967,0, 0.000
84022093,2020-01-22,0,30.02531716,-90.80212061,0, 0.000
84022095,2020-01-22,0,30.12597499,-90.4753503,0, 0.000
84022097,2020-01-22,0,30.59724262,-92.00135806,0, 0.000
84022099,2020-01-22,0,30.13112107,-91.61403569,0, 0.000
84022101,2020-01-22,0,29.69262097,-91.44702164,0, 0.000
84022103,2020-01-22,0,30.40942847,-89.95642711,0, 0.000
84022105,2020-01-22,0,30.62888673,-90.40664996,0, 0.000
84022109,2020-01-22,0,29.37343766,-90.82626855,0, 0.000
84022117,2020-01-22,0,30.85288548,-90.03866652,0, 0.000
84023005,2020-01-22,0,43.8370751,-70.37226999,0, 0.000
84023031,2020-01-22,0,43.47808377,-70.71052375,0, 0.000
84024003,2020-01-22,0,39.00670238,-76.60329337,0, 0.000
84024005,2020-01-22,0,39.45784712,-76.62911955,0, 0.000
84024013,2020-01-22,0,39.56453592,-77.02373735,0, 0.000
84024017,2020-01-22,0,38.51092331,-76.98580666,0, 0.000
84024021,2020-01-22,0,39.47296601,-77.39999394,0, 0.000
84024025,2020-01-22,0,39.55010644,-76.30775940000001,0, 0.000
84024027,2020-01-22,0,39.25305293,-76.93126208,0, 0.000
84024031,2020-01-22,0,39.13676329,-77.20358245,0, 0.000
84024033,2020-01-22,0,38.83070039,-76.8496441,0, 0.000
84024510,2020-01-22,0,39.30211911,-76.61151012,0, 0.000
84025001,2020-01-22,0,41.72980578,-70.28854339,0, 0.000
84025003,2020-01-22,0,42.37428441,-73.20524838,0, 0.000
84025005,2020-01-22,0,41.79228404,-71.10872211,0, 0.000
84025009,2020-01-22,0,42.6687626,-70.94687179,0, 0.000
84025011,2020-01-22,0,42.58119713,-72.58602547,0, 0.000
84025013,2020-01-22,0,42.13440424,-72.63235561,0, 0.000
84025015,2020-01-22,0,42.33997957,-72.65898478,0, 0.000
84025017,2020-01-22,0,42.48607732,-71.39049229,0, 0.000
84025021,2020-01-22,0,42.16073095,-71.20530408,0, 0.000
84025023,2020-01-22,0,41.94070556,-70.80802823,0, 0.000
