UID,lat,lon,FIPS
84005083,35.21413234,-93.71951016,5083
84005085,34.75392199,-91.88742357,5085
84005087,36.01038185,-93.72524943,5087
84005089,36.26844485,-92.68451899,5089
84005091,33.31403423,-93.89285258,5091
84005093,35.76271485,-90.0519437,5093
84005095,34.6815935,-91.20540287,5095
84005097,34.53704874,-93.65824478,5097
84005099,33.66340119,-93.30632432,5099
84005101,35.91947491,-93.21612969,5101
84005103,33.58839816,-92.87795984,5103
84005105,34.9459153,-92.94372564,5105
84005107,34.43268455,-90.84800154,5107
84005109,34.16250414,-93.65789349,5109
84005111,35.57433534,-90.66268713,5111
84005113,34.48254879,-94.22728802,5113
84005115,35.44871474,-93.03212219,5115
84005117,34.83624419,-91.55162157,5117
84005119,34.77054088,-92.31355101,5119
84005121,36.3415714,-91.02455531,5121
84005123,35.02201976,-90.74828138,5123
84005125,34.64916145,-92.67583224,5125
84005127,34.85588887,-94.0632176,5127
84005129,35.9109364,-92.69936482,5129
84005131,35.19605503,-94.27162713,5131
84005133,33.99780401,-94.2424869,5133
84005135,36.16258158,-91.47819342,5135
84005137,35.86251946,-92.15684085,5137
84005139,33.16887091,-92.59746952,5139
84005141,35.58095779,-92.51295036,5141
84005143,35.976844,-94.21800746,5143
84005145,35.25688493,-91.74908296,5145
84005147,35.18902527,-91.2439489,5147
84005149,35.00292371,-93.41171338,5149
84006001,37.64629437,-121.8929271,6001
84006003,38.59678594,-119.8223594,6003
84006005,38.44583082,-120.65696,6005
84006007,39.66727762,-121.6005252,6007
84006009,38.20537103,-120.552913,6009
84006011,39.17881957,-122.2331726,6011
84006013,37.91923498,-121.9289527,6013
84006015,41.74228275,-123.8974063,6015
84006017,38.77965956,-120.5233166,6017
84006019,36.75733899,-119.6466953,6019
84006021,39.59875897,-122.3938452,6021
84006023,40.69923009,-123.876044,6023
84006025,33.0393082,-115.3669042,6025
84006027,36.51112084,-117.4111978,6027
84006029,35.34329425,-118.7277796,6029
84006031,36.07409056,-119.8159973,6031
84006033,39.10124298,-122.7536244,6033
84006035,40.67311306,-120.5935099,6035
84006037,34.30828379,-118.2282411,6037
84006039,37.21513971,-119.7665589,6039
84006041,38.07122463,-122.7210631,6041
84006043,37.57978556,-119.9073334,6043
84006045,39.4381191,-123.3911313,6045
84006047,37.18922369,-120.7209035,6047
84006049,41.58965602,-120.7244817,6049
84006051,37.93899289,-118.8872409,6051
84006053,36.21862405,-121.2413397,6053
84006055,38.50735751,-122.332839,6055
84006057,39.30394768,-120.7627281,6057
84006059,33.70147516,-117.7645998,6059
84006061,39.06167234,-120.7240569,6061
84006063,40.00355989,-120.8395236,6063
84006065,33.74314981,-115.9933578,6065
84006067,38.45106826,-121.3425374,6067
84006069,36.60308176,-121.069975,6069
84006071,34.84060306,-116.1774685,6071
84006073,33.03484597,-116.7365326,6073
84006075,37.75215114,-122.4385672,6075
84006077,37.93433732,-121.2730061,6077
84006079,35.38822029,-120.4039028,6079
84006081,37.4228808,-122.3275546,6081
84006083,34.65329488,-120.0188492,6083
84006085,37.23104908,-121.6970462,6085
84006087,37.05580291,-122.0066524,6087
84006089,40.76391419,-122.0396884,6089
84006091,39.57713498,-120.5200701,6091
84006093,41.59198861,-122.5407434,6093
84006095,38.26827353,-121.9357113,6095
84006097,38.52746429,-122.8862506,6097
84006099,37.55862499,-120.9970722,6099
84006101,39.03417539,-121.6945899,6101
84006103,40.12570935,-122.2370171,6103
84006105,40.6491767,-123.114713,6105
84006107,36.22026558,-118.8020203,6107
84006109,38.02644018,-119.9525093,6109
84006111,34.44465746,-119.0910613,6111
84006113,38.68278902,-121.9018288,6113
84006115,39.26255932,-121.3535644,6115
84008001,39.87432092,-104.3362578,8001
84008003,37.57250606,-105.7885451,8003
84008005,39.64977461,-104.33536170000001,8005
84008007,37.19474156,-107.0476867,8007
84008009,37.31940883,-102.5603223,8009
84008011,37.95474293,-103.0720195,8011
84008013,40.09313619,-105.3546767,8013
84008014,39.95998787,-105.0566324,8014
84008015,38.74745778,-106.1926573,8015
84008017,38.82777431,-102.6032558,8017
84008019,39.68864463,-105.6463118,8019
84008021,37.201606,-106.1917488,8021
84008023,37.27732493,-105.4276548,8023
84008025,38.32608609,-103.7844965,8025
84008027,38.10883162,-105.3683478,8027
84008029,38.86246243,-107.8631342,8029
84008031,39.76018276,-104.8725695,8031
84008033,37.75208676,-108.5211585,8033
84008035,39.33133796,-104.930001,8035
84008037,39.62754308,-106.6933637,8037
84008039,39.28656773,-104.1358721,8039
84008041,38.83240149,-104.5251411,8041
84008043,38.47362326,-105.4399667,8043
84008045,39.59921777,-107.902708,8045
84008047,39.85646523,-105.5252597,8047
84008049,40.10603347,-106.1178042,8049
84008051,38.66611652,-107.0320729,8051
84008053,37.82247444,-107.3004345,8053
84008055,37.68473101,-104.9612585,8055
84008057,40.6659387,-106.3408905,8057
84008059,39.58635604,-105.2517692,8059
84008061,38.43260896,-102.7392145,8061
84008063,39.30497777,-102.6022199,8063
84008065,39.20278823,-106.3555697,8065
84008067,37.28632032,-107.8429014,8067
84008069,40.66671597,-105.4625784,8069
84008071,37.3153406,-104.0376458,8071
84008073,38.98749519,-103.5136649,8073
84008075,40.724963700000004,-103.110817,8075
84008077,39.01787888,-108.469799,8077
84008079,37.66954283,-106.9281698,8079
84008081,40.61810999,-108.2070876,8081
84008083,37.33859579,-108.5958857,8083
84008085,38.40214114,-108.2639022,8085
84008087,40.2627981,-103.8093302,8087
84008089,37.9014485,-103.7173385,8089
84008091,38.14717457,-107.7675136,8091
84008093,39.120926,-105.7182065,8093
84008095,40.59414277,-102.3577703,8095
84008097,39.21720112,-106.9310027,8097
84008099,37.95544985,-102.3926052,8099
