"","UID","lat","lon","FIPS"
"224",84002016,52.3233,-174.1596,2016
"225",84002020,61.14998174,-149.1426986,2020
"226",84002050,60.90980451,-159.8561831,2050
"227",84002060,58.74513976,-156.701064,2060
"228",84002066,60.3886,-162.8905196,2066
"229",84002063,61.16666,-149.9,2063
"230",84002068,63.67264044,-150.0076108,2068
"231",84002070,59.79603738,-158.2381942,2070
"232",84002090,64.80726247,-146.5692662,2090
"233",84002100,59.09893571,-135.4679843,2100
"234",84002105,58.29307365,-135.6424424,2105
"235",84002110,58.45031811,-134.200436,2110
"236",84002122,60.24429722,-151.5388884,2122
"237",84002130,55.57445008,-130.975561,2130
"238",84002150,57.65529415,-153.7493579,2150
"239",84002158,62.1542916,-163.3967883,2158
"240",84002164,58.62403337,-156.2140589,2164
"241",84002170,62.31305045,-149.5741743,2170
"242",84002180,64.90320724,-164.0353804,2180
"243",84002185,69.31479216,-153.4836093,2185
"244",84002188,67.04919196,-159.7503946,2188
"245",84002195,57.13978948,-132.9540995,2195
"246",84002198,55.76261984,-133.0511621,2198
"247",84002220,57.24124555,-135.3206587,2220
"248",84002230,59.56149996,-135.3337748,2230
"249",84002240,63.87692095,-143.2127643,2240
"250",84002261,61.47502768,-144.7126799,2261
"251",84002275,56.3202004,-132.0583731,2275
"252",84002282,59.8909808,-140.3601451,2282
"253",84002290,65.50815459,-151.3907387,2290
"254",84004001,35.39465006,-109.4892383,4001
"255",84004003,31.87934684,-109.7516088,4003
"256",84004005,35.83883429,-111.7707178,4005
"257",84004007,33.80190085,-110.8132779,4007
"258",84004009,32.93166885,-109.8882178,4009
"259",84004011,33.21498827,-109.2405279,4011
"260",84004012,33.72854224,-113.9810029,4012
"261",84004013,33.34835867,-112.4918154,4013
"262",84004015,35.70471703,-113.7577902,4015
"263",84004017,35.3997715,-110.3218983,4017
"264",84004019,32.0971334,-111.7890033,4019
"265",84004021,32.90525627,-111.3449483,4021
"266",84004023,31.52508998,-110.8479088,4023
"267",84004025,34.59933926,-112.5538588,4025
"268",84004027,32.76895712,-113.9066674,4027
"269",84005001,34.29145151,-91.37277296,5001
"270",84005003,33.19153461,-91.7698471,5003
"271",84005005,36.28784385,-92.33782872,5005
"272",84005007,36.33644656,-94.25680817,5007
"273",84005009,36.3084504,-93.09374925,5009
"274",84005011,33.46755808,-92.15980837,5011
"275",84005013,33.55598792,-92.49974403,5013
"276",84005015,36.3403856,-93.54270261,5015
"277",84005017,33.26458973,-91.29539209,5017
"278",84005019,34.04613432,-93.17484713,5019
"279",84005021,36.36826212,-90.4148172,5021
"280",84005023,35.53864922,-92.02640019,5023
"281",84005025,33.89723187,-92.18537045,5025
"282",84005027,33.21230701,-93.22642793,5027
"283",84005029,35.26205537,-92.70506566,5029
"284",84005031,35.83018283,-90.63235729,5031
"285",84005033,35.58928601,-94.2446814,5033
"286",84005035,35.21247318,-90.30839406,5035
"287",84005037,35.29631396,-90.77185818,5037
"288",84005039,33.97042763,-92.65167437,5039
"289",84005041,33.83011025,-91.25500948,5041
"290",84005043,33.59035001,-91.71777921,5043
"291",84005045,35.14719007,-92.33717519,5045
"292",84005047,35.51202821,-93.89299569,5047
"293",84005049,36.38177105,-91.81729127,5049
"294",84005051,34.57692074,-93.14921604,5051
"295",84005053,34.29017991,-92.42320562,5053
"296",84005055,36.1173546,-90.55832668,5055
"297",84005057,33.73325583,-93.66935133,5057
"298",84005059,34.31709259,-92.95396325,5059
"299",84005061,34.09007427,-93.9934871,5061
"300",84005063,35.74242707,-91.57001641,5063
"301",84005065,36.09604046,-91.90847954,5065
"302",84005067,35.59802983,-91.21494602,5067
"303",84005069,34.26767081,-91.92619839,5069
"304",84005071,35.56759135,-93.46036368,5071
"305",84005073,33.24116713,-93.60677071,5073
"306",84005075,36.04188196,-91.10867198,5075
"307",84005077,34.78498904,-90.78383866,5077
"308",84005079,33.95317155,-91.74002806,5079
"309",84005081,33.70375665,-94.23468591,5081
"310",84005083,35.21413234,-93.71951016,5083
"311",84005085,34.75392199,-91.88742357,5085
"312",84005087,36.01038185,-93.72524943,5087
"313",84005089,36.26844485,-92.68451899,5089
"314",84005091,33.31403423,-93.89285258,5091
"315",84005093,35.76271485,-90.0519437,5093
"316",84005095,34.6815935,-91.20540287,5095
"317",84005097,34.53704874,-93.65824478,5097
"318",84005099,33.66340119,-93.30632432,5099
"319",84005101,35.91947491,-93.21612969,5101
"320",84005103,33.58839816,-92.87795984,5103
"321",84005105,34.9459153,-92.94372564,5105
"322",84005107,34.43268455,-90.84800154,5107
"323",84005109,34.16250414,-93.65789349,5109
"324",84005111,35.57433534,-90.66268713,5111
"325",84005113,34.48254879,-94.22728802,5113
"326",84005115,35.44871474,-93.03212219,5115
"327",84005117,34.83624419,-91.55162157,5117
"328",84005119,34.77054088,-92.31355101,5119
"329",84005121,36.3415714,-91.02455531,5121
"330",84005123,35.02201976,-90.74828138,5123
"331",84005125,34.64916145,-92.67583224,5125
"332",84005127,34.85588887,-94.0632176,5127
"333",84005129,35.9109364,-92.69936482,5129
"334",84005131,35.19605503,-94.27162713,5131
"335",84005133,33.99780401,-94.2424869,5133
"336",84005135,36.16258158,-91.47819342,5135
"337",84005137,35.86251946,-92.15684085,5137
"338",84005139,33.16887091,-92.59746952,5139
"339",84005141,35.58095779,-92.51295036,5141
"340",84005143,35.976844,-94.21800746,5143
"341",84005145,35.25688493,-91.74908296,5145
"342",84005147,35.18902527,-91.2439489,5147
"343",84005149,35.00292371,-93.41171338,5149
"344",84006001,37.64629437,-121.8929271,6001
"345",84006003,38.59678594,-119.8223594,6003
"346",84006005,38.44583082,-120.65696,6005
"347",84006007,39.66727762,-121.6005252,6007
"348",84006009,38.20537103,-120.552913,6009
"349",84006011,39.17881957,-122.2331726,6011
"350",84006013,37.91923498,-121.9289527,6013
"351",84006015,41.74228275,-123.8974063,6015
"352",84006017,38.77965956,-120.5233166,6017
"353",84006019,36.75733899,-119.6466953,6019
"354",84006021,39.59875897,-122.3938452,6021
"355",84006023,40.69923009,-123.876044,6023
"356",84006025,33.0393082,-115.3669042,6025
"357",84006027,36.51112084,-117.4111978,6027
"358",84006029,35.34329425,-118.7277796,6029
"359",84006031,36.07409056,-119.8159973,6031
"360",84006033,39.10124298,-122.7536244,6033
"361",84006035,40.67311306,-120.5935099,6035
"362",84006037,34.30828379,-118.2282411,6037
"363",84006039,37.21513971,-119.7665589,6039
"364",84006041,38.07122463,-122.7210631,6041
"365",84006043,37.57978556,-119.9073334,6043
"366",84006045,39.4381191,-123.3911313,6045
"367",84006047,37.18922369,-120.7209035,6047
"368",84006049,41.58965602,-120.7244817,6049
"369",84006051,37.93899289,-118.8872409,6051
"370",84006053,36.21862405,-121.2413397,6053
"371",84006055,38.50735751,-122.332839,6055
"372",84006057,39.30394768,-120.7627281,6057
"373",84006059,33.70147516,-117.7645998,6059
"374",84006061,39.06167234,-120.7240569,6061
"375",84006063,40.00355989,-120.8395236,6063
"376",84006065,33.74314981,-115.9933578,6065
"377",84006067,38.45106826,-121.3425374,6067
"378",84006069,36.60308176,-121.069975,6069
"379",84006071,34.84060306,-116.1774685,6071
"380",84006073,33.03484597,-116.7365326,6073
"381",84006075,37.75215114,-122.4385672,6075
"382",84006077,37.93433732,-121.2730061,6077
"383",84006079,35.38822029,-120.4039028,6079
"384",84006081,37.4228808,-122.3275546,6081
"385",84006083,34.65329488,-120.0188492,6083
"386",84006085,37.23104908,-121.6970462,6085
"387",84006087,37.05580291,-122.0066524,6087
"388",84006089,40.76391419,-122.0396884,6089
"389",84006091,39.57713498,-120.5200701,6091
"390",84006093,41.59198861,-122.5407434,6093
"391",84006095,38.26827353,-121.9357113,6095
"392",84006097,38.52746429,-122.8862506,6097
"393",84006099,37.55862499,-120.9970722,6099
"394",84006101,39.03417539,-121.6945899,6101
"395",84006103,40.12570935,-122.2370171,6103
"396",84006105,40.6491767,-123.114713,6105
"397",84006107,36.22026558,-118.8020203,6107
"398",84006109,38.02644018,-119.9525093,6109
"399",84006111,34.44465746,-119.0910613,6111
"400",84006113,38.68278902,-121.9018288,6113
"401",84006115,39.26255932,-121.3535644,6115
"402",84008001,39.87432092,-104.3362578,8001
"403",84008003,37.57250606,-105.7885451,8003
"404",84008005,39.64977461,-104.3353617,8005
"405",84008007,37.19474156,-107.0476867,8007
"406",84008009,37.31940883,-102.5603223,8009
"407",84008011,37.95474293,-103.0720195,8011
"408",84008013,40.09313619,-105.3546767,8013
"409",84008014,39.95998787,-105.0566324,8014
"410",84008015,38.74745778,-106.1926573,8015
"411",84008017,38.82777431,-102.6032558,8017
"412",84008019,39.68864463,-105.6463118,8019
"413",84008021,37.201606,-106.1917488,8021
"414",84008023,37.27732493,-105.4276548,8023
"415",84008025,38.32608609,-103.7844965,8025
"416",84008027,38.10883162,-105.3683478,8027
"417",84008029,38.86246243,-107.8631342,8029
"418",84008031,39.76018276,-104.8725695,8031
"419",84008033,37.75208676,-108.5211585,8033
"420",84008035,39.33133796,-104.930001,8035
"421",84008037,39.62754308,-106.6933637,8037
"422",84008039,39.28656773,-104.1358721,8039
"423",84008041,38.83240149,-104.5251411,8041
"424",84008043,38.47362326,-105.4399667,8043
"425",84008045,39.59921777,-107.902708,8045
"426",84008047,39.85646523,-105.5252597,8047
"427",84008049,40.10603347,-106.1178042,8049
"428",84008051,38.66611652,-107.0320729,8051
"429",84008053,37.82247444,-107.3004345,8053
"430",84008055,37.68473101,-104.9612585,8055
"431",84008057,40.6659387,-106.3408905,8057
"432",84008059,39.58635604,-105.2517692,8059
"433",84008061,38.43260896,-102.7392145,8061
"434",84008063,39.30497777,-102.6022199,8063
"435",84008065,39.20278823,-106.3555697,8065
"436",84008067,37.28632032,-107.8429014,8067
"437",84008069,40.66671597,-105.4625784,8069
"438",84008071,37.3153406,-104.0376458,8071
"439",84008073,38.98749519,-103.5136649,8073
"440",84008075,40.7249637,-103.110817,8075
"441",84008077,39.01787888,-108.469799,8077
"442",84008079,37.66954283,-106.9281698,8079
"443",84008081,40.61810999,-108.2070876,8081
"444",84008083,37.33859579,-108.5958857,8083
"445",84008085,38.40214114,-108.2639022,8085
"446",84008087,40.2627981,-103.8093302,8087
"447",84008089,37.9014485,-103.7173385,8089
"448",84008091,38.14717457,-107.7675136,8091
"449",84008093,39.120926,-105.7182065,8093
"450",84008095,40.59414277,-102.3577703,8095
"451",84008097,39.21720112,-106.9310027,8097
"452",84008099,37.95544985,-102.3926052,8099
"453",84008101,38.17359144,-104.5127437,8101
"454",84008103,39.97913541,-108.2179009,8103
"455",84008105,37.5836865,-106.3847838,8105
"456",84008107,40.48596505,-106.9905548,8107
"457",84008109,38.08054629,-106.282466,8109
"458",84008111,37.76248981,-107.6763289,8111
"459",84008113,38.00450883,-108.4020725,8113
"460",84008115,40.87595412,-102.3519227,8115
"461",84008117,39.63803232,-106.1150762,8117
"462",84008119,38.88133511,-105.1614893,8119
"463",84008121,39.97015535,-103.202587,8121
"464",84008123,40.55499405,-104.3929621,8123
"465",84008125,40.00346839,-102.4258673,8125
"466",84009001,41.26809896,-73.3881171,9001
"467",84009003,41.80283011,-72.73103891,9003
"468",84009005,41.7937534,-73.2451475,9005
"469",84009007,41.45949668,-72.53714864,9007
"470",84009009,41.4080325,-72.93620426,9009
"471",84009011,41.48896435,-72.10430976,9011
"472",84009013,41.85853803,-72.3308481,9013
"473",84009015,41.82972709,-71.98182316,9015
"474",84010001,39.08646628,-75.56884914,10001
"475",84010003,39.57992638,-75.64054974,10003
"476",84010005,38.66143781,-75.39031349,10005
"477",84011001,38.90417773,-77.01655992,11001
"478",84012001,29.67866525,-82.35928158,12001
"479",84012003,30.33060121,-82.28467476,12003
"480",84012005,30.26548745,-85.62122584,12005
"481",84012007,29.95079741,-82.16611613,12007
"482",84012009,28.29409504,-80.73091022,12009
"483",84012011,26.15184651,-80.48725556,12011
"484",84012013,30.40666734,-85.19394153,12013
"485",84012015,26.90131002,-81.92949121,12015
"486",84012017,28.84804315,-82.47614748,12017
"487",84012019,29.98319144,-81.85609986,12019
"488",84012021,26.11091986,-81.34687065,12021
"489",84012023,30.22509788,-82.62160164,12023
"490",84012027,27.18677893,-81.80941373,12027
"491",84012029,29.60631086,-83.15724673,12029
"492",84012031,30.33225875,-81.66976468,12031
"493",84012033,30.67652764,-87.37284571,12033
"494",84012035,29.45933576,-81.31508595,12035
"495",84012037,29.83791238,-84.82731662,12037
"496",84012039,30.57796289,-84.61915825,12039
"497",84012041,29.72856978,-82.79880657,12041
"498",84012043,26.95635849,-81.18996211,12043
"499",84012045,29.93543004,-85.2427099,12045
"500",84012047,30.49673973,-82.94998918,12047
"501",84012049,27.49293939,-81.80956574,12049
"502",84012051,26.55386945,-81.16469006,12051
"503",84012053,28.55364461,-82.42700204,12053
"504",84012055,27.34254618,-81.34071957,12055
